"job_id","job_title","salary_year_avg","company_name","skills"
21321,"Data Engineer","325000.0","Engtal","python"
21321,"Data Engineer","325000.0","Engtal","spark"
21321,"Data Engineer","325000.0","Engtal","pandas"
21321,"Data Engineer","325000.0","Engtal","numpy"
21321,"Data Engineer","325000.0","Engtal","pyspark"
21321,"Data Engineer","325000.0","Engtal","hadoop"
21321,"Data Engineer","325000.0","Engtal","kafka"
21321,"Data Engineer","325000.0","Engtal","kubernetes"
157003,"Data Engineer","325000.0","Engtal","python"
157003,"Data Engineer","325000.0","Engtal","spark"
157003,"Data Engineer","325000.0","Engtal","pandas"
157003,"Data Engineer","325000.0","Engtal","numpy"
157003,"Data Engineer","325000.0","Engtal","pyspark"
157003,"Data Engineer","325000.0","Engtal","hadoop"
157003,"Data Engineer","325000.0","Engtal","kafka"
157003,"Data Engineer","325000.0","Engtal","kubernetes"
270455,"Data Engineer","300000.0","Durlston Partners","sql"
270455,"Data Engineer","300000.0","Durlston Partners","python"
230458,"Director of Engineering - Data Platform","251000.0","Twitch","spark"
230458,"Director of Engineering - Data Platform","251000.0","Twitch","hadoop"
230458,"Director of Engineering - Data Platform","251000.0","Twitch","kafka"
230458,"Director of Engineering - Data Platform","251000.0","Twitch","tensorflow"
230458,"Director of Engineering - Data Platform","251000.0","Twitch","keras"
230458,"Director of Engineering - Data Platform","251000.0","Twitch","pytorch"
561728,"Data Engineer","250000.0","AI Startup","python"
561728,"Data Engineer","250000.0","AI Startup","scala"
561728,"Data Engineer","250000.0","AI Startup","r"
561728,"Data Engineer","250000.0","AI Startup","azure"
543728,"Staff Data Engineer","250000.0","Signify Technology","python"
543728,"Staff Data Engineer","250000.0","Signify Technology","scala"
543728,"Staff Data Engineer","250000.0","Signify Technology","databricks"
543728,"Staff Data Engineer","250000.0","Signify Technology","spark"
595768,"Principal Data Engineer","250000.0","Signify Technology","python"
595768,"Principal Data Engineer","250000.0","Signify Technology","scala"
595768,"Principal Data Engineer","250000.0","Signify Technology","databricks"
595768,"Principal Data Engineer","250000.0","Signify Technology","spark"
204320,"Staff Data Engineer","245000.0","Handshake","go"
151972,"Principal Data Engineer (Remote)","245000.0","Movable Ink","nosql"
151972,"Principal Data Engineer (Remote)","245000.0","Movable Ink","aws"
151972,"Principal Data Engineer (Remote)","245000.0","Movable Ink","gcp"
2446,"Data Engineering Manager","242000.0","Meta","sql"
2446,"Data Engineering Manager","242000.0","Meta","python"
2446,"Data Engineering Manager","242000.0","Meta","java"
2446,"Data Engineering Manager","242000.0","Meta","perl"
